price,latitude,longitude,num_bathrooms,num_bedrooms,num_floors,property_type,tenure
630000,52.681973,-1.223015,1,3,0,detached house,freehold
158500,52.46161,-1.208447,1,2,0,detached bungalow,freehold
180995,52.637238,-1.129608,2,2,0,flat,leasehold
88000,52.637238,-1.129608,1,1,0,flat,leasehold
140000,52.63394,-1.128062,0,1,0,flat,leasehold
150000,52.633106,-1.130966,1,2,0,flat,leasehold
76995,52.637238,-1.129608,1,1,0,flat,leasehold
100000,52.63551,-1.125652,2,2,0,flat,leasehold
280000,52.627213,-1.21607,1,3,0,semi-detached house,freehold
400000,52.62296,-1.22001,2,4,2,detached house,freehold
129000,52.622055,-1.222057,1,3,0,detached house,freehold
150000,52.619747,-1.215377,1,3,0,semi-detached house,freehold
275000,52.624657,-1.205694,1,3,0,semi-detached house,freehold
169450,52.619465,-1.212236,1,5,0,detached house,freehold
142000,52.624664,-1.206072,2,3,0,semi-detached house,freehold
141000,52.624065,-1.213689,1,3,0,semi-detached house,freehold
185995,52.619583,-1.211426,1,2,0,semi-detached bungalow,freehold
255000,52.623978,-1.205798,1,3,0,semi-detached house,freehold
195000,52.625378,-1.205525,2,3,0,detached bungalow,freehold
171950,52.619465,-1.212236,1,5,0,detached house,freehold
675000,52.625023,-1.203735,0,0,0,land,freehold
174950,52.627213,-1.216071,1,3,0,semi-detached house,freehold
365000,52.616753,-1.225337,2,4,0,detached house,freehold
158000,52.62194,-1.206063,2,3,0,semi-detached house,freehold
195000,52.62394,-1.11272,1,2,0,terraced house,freehold
187500,52.620197,-1.116356,3,6,0,semi-detached house,freehold
285000,52.623894,-1.11018,1,3,0,semi-detached house,freehold
110000,52.617157,-1.114481,1,1,0,flat,leasehold
92000,52.628757,-1.135582,1,1,0,flat,leasehold
89950,52.62869,-1.137534,1,1,0,flat,leasehold
83950,52.62869,-1.137534,1,1,0,flat,leasehold
70000,52.62869,-1.137534,1,1,0,flat,leasehold
350000,52.626877,-1.129115,4,4,0,block of flats,freehold
895000,52.62923,-1.13281,0,19,0,block of flats,freehold
176995,52.62869,-1.137534,1,1,0,flat,leasehold
80000,52.628757,-1.135582,1,1,0,flat,leasehold
995000,52.62869,-1.137534,0,17,0,block of flats,freehold
79995,52.628757,-1.135582,1,1,0,flat,leasehold
74000,52.628757,-1.135582,1,1,0,flat,leasehold
79995,52.628757,-1.135582,1,1,0,flat,leasehold
161250,52.627975,-1.126189,2,2,0,flat,leasehold
72995,52.628757,-1.135582,1,1,0,flat,leasehold
84950,52.62869,-1.137534,1,1,0,flat,leasehold
92000,52.628757,-1.135582,1,1,0,flat,leasehold
350000,52.626877,-1.129115,4,4,0,block of flats,freehold
80000,52.628757,-1.135582,1,1,0,flat,leasehold
79995,52.628757,-1.135582,1,1,0,flat,leasehold
74000,52.628757,-1.135582,1,1,0,flat,leasehold
79995,52.628757,-1.135582,1,1,0,flat,leasehold
72995,52.628757,-1.135582,1,1,0,flat,leasehold
81000,52.628353,-1.137097,1,1,0,studio,leasehold
260000,52.64683,-1.102457,1,2,0,terraced house,freehold
140000,52.639893,-1.11188,1,1,0,flat,leasehold
225000,52.642555,-1.10983,1,3,0,terraced house,freehold
95500,52.648113,-1.101766,1,3,0,terraced house,freehold
325000,52.64089,-1.098648,2,3,0,terraced house,freehold
220000,52.64882,-1.096356,1,3,0,terraced house,freehold
260000,52.63801,-1.106554,2,4,0,terraced house,freehold
135000,52.642357,-1.108279,1,3,0,terraced house,freehold
105000,52.636215,-1.101478,2,3,0,semi-detached house,freehold
220000,52.576603,-1.030504,1,3,0,semi-detached house,freehold
385000,55.94328,-3.072276,2,4,0,villa,freehold
345000,55.944336,-3.072217,1,2,0,detached bungalow,freehold
135000,55.929916,-3.283239,1,3,0,flat,freehold
125000,55.92087,-3.296622,1,3,0,flat,freehold
174000,55.92049,-3.28672,1,3,0,flat,freehold
145000,55.921814,-3.285675,2,3,0,flat,freehold
99995,55.9182,-3.2936,1,2,1,flat,freehold
145000,55.93119,-3.283697,1,2,0,flat,freehold
140000,53.79503,-1.560933,1,1,0,flat,leasehold
170000,50.16181,-5.355582,1,3,1,bungalow,freehold
470000,50.16018,-5.356287,2,4,0,detached house,freehold
115000,50.161983,-5.356463,1,3,0,cottage,freehold
255000,51.247578,0.606125,1,2,0,semi-detached house,freehold
249000,51.248405,0.613752,1,3,0,semi-detached house,freehold
132000,51.247753,0.595628,1,2,0,end terrace house,freehold
128000,53.79849,-1.622861,1,2,0,semi-detached house,freehold
161000,53.81965,-1.655301,1,3,0,semi-detached house,freehold
